fabricante,modelo,ano_fabricacao,categoria,couro_interior,tipo_combustivel,km_rodados,cilindradas,tipo_transmissao,tracao_rodas,qtd_portas,posicao_volante,cor,airbags,volume_motor,tipo_motor,preco_total
NISSAN,PATROL,1990,Jeep,0,Diesel,333333,4,Manual,Rear,4_portas,Left wheel,Black,0,2.8,Turbo,18817
HONDA,CIVIC,1997,Hatchback,1,Petrol,0,4,Manual,Front,2_portas,Left wheel,Blue,6,1.4,Comum,4234
MERCEDES-BENZ,E 320,2004,Sedan,1,Petrol,214000,6,Tiptronic,Rear,4_portas,Left wheel,Grey,8,3.2,Comum,15053
HYUNDAI,GENESIS,2009,Coupe,1,Petrol,123346,4,Automatic,Front,4_portas,Left wheel,Black,4,2.0,Comum,16424
CHEVROLET,CRUZE,2014,Sedan,1,Petrol,80827,4,Automatic,Front,4_portas,Left wheel,Green,12,1.4,Comum,3374
PORSCHE,911,2013,Coupe,1,Petrol,64464,6,Automatic,Rear,2_portas,Left wheel,Black,12,3.8,Comum,1844
LEXUS,GX 460,2010,Jeep,1,Petrol,275240,8,Automatic,4x4,4_portas,Left wheel,Silver,0,4.6,Comum,17492
MERCEDES-BENZ,SPRINTER,2004,Microbus,0,Diesel,300000,4,Manual,Rear,4_portas,Left wheel,White,1,2.2,Turbo,26657
TOYOTA,PRIUS,2007,Hatchback,0,Petrol,318400,4,Automatic,Front,4_portas,Left wheel,Silver,6,1.5,Comum,11651
FORD,FOCUS SE,2015,Sedan,0,Petrol,91200,4,Automatic,Front,4_portas,Left wheel,Sky blue,10,2.0,Comum,13623
BMW,X5,2013,Jeep,1,Diesel,137802,6,Automatic,4x4,4_portas,Left wheel,Black,12,3.0,Comum,1936
KIA,PICANTO,2016,Hatchback,0,Petrol,107000,4,Manual,Front,4_portas,Left wheel,Silver,2,1.2,Comum,12858
BMW,328,2008,Sedan,1,CNG,210408,6,Tiptronic,Rear,4_portas,Left wheel,White,12,3.0,Comum,15000
HYUNDAI,ELANTRA,2010,Sedan,1,Petrol,122740,4,Automatic,Front,4_portas,Left wheel,White,4,1.6,Comum,17845
MITSUBISHI,AIRTREK,2005,Jeep,0,LPG,144000,4,Tiptronic,4x4,4_portas,Right-hand drive,White,16,2.4,Comum,12231
MERCEDES-BENZ,E 500 AMG,2003,Sedan,1,Petrol,150000,12,Tiptronic,Rear,4_portas,Right-hand drive,White,12,5.0,Comum,23631
SSANGYONG,KORANDO,2013,Jeep,1,Diesel,85704,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,26231
HYUNDAI,SANTA FE,2010,Jeep,1,Diesel,58962,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,15733
TOYOTA,CAMRY,2013,Sedan,1,Hybrid,90000,4,Tiptronic,Front,4_portas,Left wheel,White,12,2.5,Comum,24300
RENAULT,CLIO,1995,Hatchback,0,Petrol,50000,3,Manual,Front,2_portas,Left wheel,Green,0,1.2,Comum,3450
TOYOTA,HIGHLANDER,2009,Sedan,1,Hybrid,318358,6,Automatic,4x4,4_portas,Left wheel,Black,12,3.3,Comum,2556
FORD,FUSION,2015,Sedan,1,Petrol,71454,4,Automatic,Front,4_portas,Left wheel,Black,0,2.0,Comum,17700
TOYOTA,CAMRY,2012,Sedan,1,Petrol,0,4,Tiptronic,Front,4_portas,Left wheel,Black,6,2.5,Comum,20225
HYUNDAI,SONATA,2014,Sedan,1,LPG,346470,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,12243
MERCEDES-BENZ,C 220,1999,Sedan,0,Diesel,111111,4,Manual,Rear,4_portas,Left wheel,Silver,4,2.2,Turbo,9408
HYUNDAI,H1,2008,Minivan,1,Diesel,74444,4,Automatic,Front,4_portas,Left wheel,Yellow,4,2.5,Comum,14675
NISSAN,SERENA,2012,Minivan,0,Petrol,143000,4,Tiptronic,Front,4_portas,Right-hand drive,White,12,2.0,Comum,17876
NISSAN,MAXIMA,2004,Sedan,1,Petrol,299709,6,Automatic,Front,4_portas,Left wheel,Grey,12,3.5,Comum,3415
TOYOTA,RAV 4,2008,Jeep,0,Petrol,135000,4,Automatic,4x4,4_portas,Left wheel,Silver,8,2.4,Comum,20071
HYUNDAI,H1,2011,Minivan,1,Diesel,124444,4,Automatic,Front,4_portas,Left wheel,Yellow,4,2.5,Comum,23756
HONDA,CIVIC,2012,Sedan,1,Hybrid,146403,4,Automatic,Front,4_portas,Left wheel,White,0,1.5,Comum,3404
MITSUBISHI,PAJERO,1997,Jeep,0,Petrol,142000,4,Automatic,4x4,2_portas,Left wheel,Blue,6,2.4,Comum,15681
LEXUS,GX 460,2015,Jeep,1,Petrol,102907,8,Automatic,4x4,4_portas,Left wheel,Black,0,4.6,Comum,2352
HYUNDAI,SONATA,2013,Sedan,1,Petrol,130000,4,Tiptronic,Front,4_portas,Left wheel,Black,6,2.4,Comum,18660
MERCEDES-BENZ,E 300,2017,Sedan,1,Petrol,50930,4,Automatic,Rear,4_portas,Left wheel,Black,12,2.0,Comum,23597
HYUNDAI,SONATA,2014,Sedan,1,LPG,264872,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,12243
GMC,TERRAIN,2013,Jeep,1,Petrol,138958,4,Automatic,Front,4_portas,Left wheel,Black,12,2.4,Comum,6239
MERCEDES-BENZ,208,1985,Universal,0,Diesel,1111111,4,Manual,Rear,4_portas,Left wheel,Black,1,2.5,Comum,4300
TOYOTA,CAMRY,2018,Sedan,1,Hybrid,35058,4,Automatic,Front,4_portas,Left wheel,White,12,2.5,Comum,19426
HONDA,HR-V EX,2015,Jeep,0,Petrol,33330,4,Automatic,4x4,4_portas,Left wheel,Grey,8,1.8,Comum,21866
FIAT,500,2011,Coupe,0,Petrol,141000,4,Automatic,Front,2_portas,Right-hand drive,Red,4,1.2,Comum,9095
VOLKSWAGEN,JETTA,2014,Sedan,1,Diesel,82392,4,Automatic,Front,4_portas,Left wheel,Silver,12,2.0,Comum,2207
SUBARU,LEGACY,2005,Goods wagon,0,Petrol,180000,6,Tiptronic,4x4,4_portas,Right-hand drive,Blue,6,2.0,Turbo,3136
HYUNDAI,ELANTRA SPORT LIMITED,2013,Sedan,1,Petrol,117920,4,Tiptronic,Front,4_portas,Left wheel,Grey,12,1.8,Comum,18461
HYUNDAI,SONATA,2016,Sedan,1,LPG,279787,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,12181
TOYOTA,SIENNA,2010,Minivan,1,Petrol,227200,6,Tiptronic,Front,4_portas,Left wheel,White,16,3.5,Comum,37464
HYUNDAI,H1,2012,Universal,1,Diesel,166144,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.5,Comum,22176
HYUNDAI,SONATA,2016,Sedan,1,LPG,258706,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,16572
MERCEDES-BENZ,A 170,2008,Hatchback,0,Petrol,180000,4,Automatic,Front,4_portas,Left wheel,Golden,8,1.7,Comum,11917
SSANGYONG,REXTON,2013,Jeep,1,Diesel,137267,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.0,Comum,36567
TOYOTA,PRIUS,2014,Sedan,0,Hybrid,160000,4,Automatic,4x4,4_portas,Left wheel,White,4,1.8,Comum,21320
TOYOTA,TACOMA,2018,Sedan,1,Petrol,27358,6,Automatic,Front,4_portas,Left wheel,Grey,12,3.5,Comum,22835
KIA,CARNIVAL GRAND,2009,Minivan,1,Diesel,84176,4,Automatic,Front,4_portas,Left wheel,White,6,2.9,Comum,14533
HYUNDAI,GENESIS,2011,Coupe,1,Petrol,107005,4,Automatic,Front,4_portas,Left wheel,Grey,4,2.0,Comum,16331
OPEL,VECTRA,1997,Sedan,0,Petrol,15000,4,Manual,Front,4_portas,Left wheel,Beige,2,1.6,Comum,4547
INFINITI,QX60,2015,Jeep,1,Petrol,124154,6,Automatic,4x4,4_portas,Left wheel,Black,12,3.5,Comum,6761
HYUNDAI,ELANTRA,2012,Sedan,1,Petrol,104997,4,Automatic,Front,4_portas,Left wheel,White,4,1.6,Comum,20536
VOLKSWAGEN,PASSAT,2017,Sedan,1,Petrol,27728,6,Tiptronic,Front,4_portas,Left wheel,Silver,8,1.8,Comum,37034
MERCEDES-BENZ,E 240 E 240,1998,Sedan,1,Petrol,777777,6,Manual,Rear,4_portas,Left wheel,Blue,4,2.4,Comum,7840
MERCEDES-BENZ,C 250,2014,Sedan,1,Petrol,69000,4,Tiptronic,Rear,4_portas,Left wheel,Grey,8,1.8,Turbo,30063
TOYOTA,CAMRY,2011,Sedan,1,Hybrid,152000,4,Variator,Front,4_portas,Left wheel,White,12,2.5,Comum,17249
TOYOTA,VITZ FUNKARGO,2003,Universal,0,Petrol,181926,4,Automatic,4x4,4_portas,Right-hand drive,Silver,2,1.5,Comum,9408
BMW,325,2001,Sedan,1,Petrol,252800,6,Manual,Rear,4_portas,Left wheel,Grey,6,2.5,Comum,10545
FORD,TRANSIT,2011,Goods wagon,0,Diesel,125000,4,Manual,4x4,4_portas,Left wheel,White,2,2.4,Turbo,22781
CHEVROLET,CRUZE,2014,Sedan,1,Petrol,156992,4,Automatic,Front,4_portas,Left wheel,Black,12,1.4,Comum,3609
OPEL,VECTRA,1995,Sedan,0,CNG,0,4,Manual,Front,4_portas,Left wheel,White,2,2.0,Comum,3450
MITSUBISHI,PAJERO,1998,Jeep,0,Petrol,11000,6,Tiptronic,4x4,4_portas,Right-hand drive,Silver,4,3.5,Turbo,9408
NISSAN,PATHFINDER,2010,Jeep,1,LPG,90200,6,Tiptronic,4x4,4_portas,Left wheel,Black,12,4.0,Comum,31500
MITSUBISHI,DELICA,2005,Minivan,1,Petrol,184000,6,Automatic,4x4,4_portas,Right-hand drive,White,12,3.0,Comum,20385
VOLKSWAGEN,GOLF,1996,Sedan,0,CNG,0,4,Manual,Front,4_portas,Left wheel,Green,0,2.0,Comum,2300
MERCEDES-BENZ,VANEO,2004,Universal,0,LPG,170000,4,Tiptronic,Front,4_portas,Left wheel,Silver,4,1.9,Comum,7840
VOLKSWAGEN,JETTA,2014,Universal,1,Diesel,113214,4,Automatic,Front,4_portas,Left wheel,Grey,12,2.0,Comum,2129
HONDA,CR-V,2002,Jeep,0,Petrol,260000,4,Automatic,4x4,4_portas,Left wheel,Silver,6,2.4,Comum,13172
NISSAN,PATROL Y60,1990,Jeep,0,Diesel,222222,4,Manual,Rear,4_portas,Left wheel,Black,0,2.8,Turbo,19757
AUDI,A7,2013,Hatchback,1,Petrol,301707,6,Automatic,4x4,4_portas,Left wheel,Grey,0,3.0,Comum,5621
MERCEDES-BENZ,E 350,2013,Sedan,1,Diesel,107800,6,Automatic,Rear,4_portas,Left wheel,Grey,12,3.5,Comum,6857
TOYOTA,CAMRY,2014,Sedan,0,Petrol,115200,4,Automatic,Front,4_portas,Left wheel,Silver,8,2.5,Comum,26493
CHEVROLET,ORLANDO,2012,Jeep,1,LPG,132036,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,15068
TOYOTA,RAV 4,2001,Jeep,0,Petrol,91000,4,Automatic,4x4,2_portas,Right-hand drive,Silver,4,2.0,Comum,10820
HYUNDAI,I30,2008,Hatchback,0,Diesel,201000,4,Manual,Front,4_portas,Left wheel,Black,8,1.6,Comum,12810
NISSAN,ALTIMA,1998,Sedan,0,Petrol,358400,4,Manual,Front,4_portas,Left wheel,Brown,2,2.4,Comum,4391
PORSCHE,CAYENNE,2018,Sedan,1,Petrol,28968,6,Automatic,4x4,4_portas,Left wheel,White,12,3.6,Comum,4930
ALFA ROMEO,147,2001,Coupe,1,Petrol,240000,4,Manual,Front,2_portas,Left wheel,Black,4,1.8,Comum,3700
SUZUKI,GRAND VITARA,2008,Jeep,0,Petrol,98000,4,Automatic,4x4,2_portas,Left wheel,Black,12,1.6,Comum,15681
LEXUS,CT 200H,2011,Hatchback,1,Hybrid,122302,4,Automatic,Front,4_portas,Left wheel,Black,0,1.8,Comum,7231
TOYOTA,PRIUS,2007,Hatchback,0,Hybrid,140000,4,Automatic,Front,4_portas,Left wheel,Beige,6,1.5,Comum,12544
HYUNDAI,TUCSON,2014,Jeep,1,Diesel,120000,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,30702
HYUNDAI,VELOSTER,2015,Hatchback,0,Petrol,17200,4,Tiptronic,Front,2_portas,Left wheel,Red,10,1.6,Comum,21639
TOYOTA,RAV 4 XLE SPORT,2013,Jeep,0,Petrol,120000,4,Tiptronic,Front,4_portas,Left wheel,White,0,2.5,Comum,36692
TOYOTA,AQUA,2014,Hatchback,0,Hybrid,66000,4,Variator,Front,4_portas,Right-hand drive,Silver,4,1.5,Comum,13497
TOYOTA,SIENTA,2004,Sedan,0,Petrol,300000,4,Variator,Front,4_portas,Right-hand drive,Beige,4,1.5,Comum,3136
TOYOTA,PRIUS,2009,Sedan,1,Hybrid,230000,4,Variator,Front,4_portas,Left wheel,Grey,6,1.8,Comum,10663
HONDA,FIT,2013,Hatchback,1,Petrol,110467,4,Automatic,Front,4_portas,Left wheel,White,4,1.3,Comum,6067
MERCEDES-BENZ,CLS 550,2010,Sedan,1,Petrol,157000,4,Automatic,Front,4_portas,Left wheel,Grey,10,5.5,Comum,21278
HONDA,FIT,2012,Hatchback,0,Hybrid,64000,4,Variator,Front,4_portas,Right-hand drive,Black,4,1.3,Comum,10519
VOLKSWAGEN,PASSAT,2013,Sedan,1,Diesel,179200,4,Tiptronic,Front,4_portas,Left wheel,White,16,2.0,Turbo,16007
CHEVROLET,AVALANCHE,2011,Sedan,1,Petrol,246976,8,Automatic,Front,4_portas,Left wheel,Black,12,5.3,Comum,7689
HYUNDAI,H1,2014,Minivan,1,Diesel,179918,4,Automatic,Front,4_portas,Left wheel,Silver,4,2.5,Comum,27371
TOYOTA,AVALON LIMITED,2013,Sedan,1,Hybrid,92200,4,Tiptronic,Front,4_portas,Left wheel,Beige,12,2.5,Comum,36844
KIA,CERATO K3,2016,Sedan,1,Diesel,29000,4,Tiptronic,Front,4_portas,Left wheel,Silver,8,1.6,Turbo,27073
JEEP,GRAND CHEROKEE,1993,Jeep,0,Petrol,240000,6,Automatic,4x4,4_portas,Left wheel,Green,5,4.0,Comum,6000
HYUNDAI,ELANTRA,2013,Sedan,0,Petrol,50000,4,Tiptronic,Front,4_portas,Left wheel,Grey,10,1.8,Comum,14585
CHEVROLET,CRUZE,2014,Sedan,1,Petrol,127842,4,Automatic,Front,4_portas,Left wheel,White,4,1.4,Comum,18396
OPEL,ASTRA G,2003,Hatchback,0,Petrol,180000,4,Manual,Front,4_portas,Left wheel,Silver,6,1.6,Comum,10349
TOYOTA,IST,2002,Hatchback,0,Petrol,115000,4,Automatic,Front,4_portas,Right-hand drive,Silver,7,1.3,Comum,8154
VOLKSWAGEN,PASSAT,2013,Sedan,1,Diesel,132310,4,Automatic,Front,4_portas,Left wheel,Grey,12,2.0,Comum,8167
TOYOTA,CAMRY,2017,Sedan,1,Petrol,60762,4,Automatic,Front,4_portas,Left wheel,White,12,2.5,Comum,4699
HYUNDAI,TUCSON,2010,Jeep,1,Diesel,142264,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,22899
HONDA,CIVIC,2012,Sedan,1,Hybrid,146403,4,Automatic,Front,4_portas,Left wheel,White,0,1.5,Comum,3404
TOYOTA,COROLLA,2013,Sedan,1,Petrol,227371,4,Automatic,Front,4_portas,Left wheel,Silver,12,1.8,Comum,5289
VOLKSWAGEN,PASSAT,2002,Sedan,1,Petrol,175000,6,Manual,Front,4_portas,Left wheel,Grey,6,2.8,Comum,5331
HONDA,FIT,2013,Hatchback,1,Petrol,70000,4,Automatic,Front,4_portas,Left wheel,Blue,4,1.5,Comum,17402
NISSAN,ROGUE,2010,Jeep,1,Petrol,122000,4,Automatic,4x4,4_portas,Left wheel,Silver,4,2.5,Comum,18189
MAZDA,MPV,2000,Minivan,0,Petrol,127000,4,Automatic,Front,4_portas,Left wheel,Green,4,2.5,Comum,5331
TOYOTA,PRIUS,2012,Hatchback,0,Hybrid,122324,4,Automatic,Front,4_portas,Left wheel,Red,7,1.8,Comum,16110
BMW,530,2007,Sedan,1,Petrol,111111,6,Tiptronic,Rear,4_portas,Left wheel,Grey,10,3.0,Comum,17249
HYUNDAI,ELANTRA,2017,Sedan,1,Diesel,98000,4,Automatic,Front,4_portas,Left wheel,White,4,1.6,Comum,29740
HYUNDAI,SONATA,2012,Sedan,1,LPG,573249,4,Automatic,Front,4_portas,Left wheel,Black,4,2.0,Comum,9109
HYUNDAI,SONATA,2014,Sedan,1,LPG,169024,4,Automatic,Front,4_portas,Left wheel,White,4,2.0,Comum,15065
VOLKSWAGEN,SHARAN,2011,Minivan,0,Petrol,126000,4,Automatic,Front,4_portas,Right-hand drive,Silver,6,1.4,Comum,10325
MERCEDES-BENZ,E 350,2014,Sedan,1,Diesel,200179,6,Automatic,4x4,4_portas,Left wheel,Black,12,3.5,Comum,31787
